Train_dates,Train_check-dates,Train_y,Train_pred,Pred_y,Pred_dates,All_pred_y,All_dates,Q5,Q25,Q75,Q95,train_file_name,county
11/2/20,3/7/21,30,45,174.2442667,3/12/21,62.21709908,10/21/20,-281.5097887,-80.92878962,198.2303328,398.8113318,3/25/21,42003
11/3/20,3/8/21,30,45,152.1574548,3/13/21,62.21709908,10/22/20,-280.168571,-79.5875719,199.5715505,400.1525495,3/25/21,42003
11/4/20,3/9/21,30,45,151.4881715,3/14/21,62.21709908,10/23/20,-278.8121383,-78.23113927,200.9279831,401.5089822,3/25/21,42003
11/5/20,3/10/21,30,45,151.4531755,3/15/21,65.36482788,10/24/20,-277.4402363,-76.85923725,202.2998851,402.8808842,3/25/21,42003
11/6/20,3/11/21,30,45,150.4333539,3/16/21,65.36482788,10/25/20,-276.052946,-75.47194699,203.6871754,404.2681745,3/25/21,42003
11/7/20,3/12/21,78,45,150.7399878,3/17/21,65.36482788,10/26/20,-274.6508897,-74.06989068,205.0892317,405.6702308,3/25/21,42003
11/8/20,,78,,152.7022715,3/18/21,65.36482788,10/27/20,-273.2350844,-72.6540853,206.5050371,407.0860361,3/25/21,42003
11/9/20,,78,,155.0271456,3/19/21,65.36482788,10/28/20,-271.8066623,-71.22566321,207.9334592,408.5144582,3/25/21,42003
11/10/20,,78,,,,65.36482788,10/29/20,-270.3665608,-69.78556177,209.3735606,409.9545597,3/25/21,42003
11/11/20,,78,,,,66.47136799,10/30/20,-268.9151343,-68.33413522,210.8249872,411.4059862,3/25/21,42003
11/12/20,,78,,,,70.63552936,10/31/20,-267.4516214,-66.87062239,212.2885,412.8694991,3/25/21,42003
11/13/20,,78,,,,72.65121199,11/1/20,-265.9735392,-65.39254015,213.7665822,414.3475813,3/25/21,42003
11/14/20,,192,,,,75.37919484,11/2/20,-264.4758053,-63.89480627,215.2643161,415.8453152,3/25/21,42003
11/15/20,,192,,,,78.1602869,11/3/20,-262.946224,-62.36522493,216.7938975,417.3748965,3/25/21,42003
11/16/20,,192,,,,80.56858392,11/4/20,-261.3466172,-60.76561812,218.3935043,418.9745033,3/25/21,42003
11/17/20,,192,,,,83.05728286,11/5/20,-259.0742406,-58.49324153,220.6658809,421.2468799,3/25/21,42003
11/18/20,,192,,,,85.95223002,11/6/20,-256.5076395,-55.92664048,223.2324819,423.813481,3/25/21,42003
11/19/20,,192,,,,76.11473797,11/7/20,-253.6307736,-53.04977452,226.1093479,426.6903469,3/25/21,42003
11/20/20,,192,,,,78.97002957,11/8/20,-250.3831141,-49.802115,229.3570074,429.9380064,3/25/21,42003
11/21/20,,183,,,,82.12663688,11/9/20,-246.6873926,-46.10639353,233.0527289,433.6337279,3/25/21,42003
11/22/20,,183,,,,85.54246329,11/10/20,-242.4818612,-41.90086218,237.2582602,437.8392593,3/25/21,42003
11/23/20,,183,,,,89.51754896,11/11/20,-237.7407657,-37.15976662,241.9993558,442.5803548,3/25/21,42003
11/24/20,,183,,,,93.84471309,11/12/20,-232.4759733,-31.89497429,247.2641481,447.8451472,3/25/21,42003
11/25/20,,183,,,,98.36673897,11/13/20,-226.7194447,-26.13844567,253.0206767,453.6016758,3/25/21,42003
11/26/20,,183,,,,111.3325969,11/14/20,-220.5009624,-19.91996335,259.239159,459.8201581,3/25/21,42003
11/27/20,,183,,,,117.1909892,11/15/20,-213.8353565,-13.25435745,265.9047649,466.485764,3/25/21,42003
11/28/20,,291,,,,121.9383649,11/16/20,-206.7277889,-6.146789891,273.0123325,473.5933316,3/25/21,42003
11/29/20,,291,,,,128.4122006,11/17/20,-199.1832995,1.397699562,280.556822,481.137821,3/25/21,42003
11/30/20,,291,,,,135.6126518,11/18/20,-191.2217972,9.359201842,288.5183242,489.0993233,3/25/21,42003
12/1/20,,291,,,,141.9337957,11/19/20,-182.8852485,17.69575052,296.8548729,497.435872,3/25/21,42003
12/2/20,,291,,,,149.8187341,11/20/20,-174.2363077,26.34469136,305.5038138,506.0848128,3/25/21,42003
12/3/20,,291,,,,185.7372809,11/21/20,-165.3454188,35.23558022,314.3947026,514.9757017,3/25/21,42003
12/4/20,,291,,,,192.1229022,11/22/20,-156.2547629,44.32623613,323.4853585,524.0663576,3/25/21,42003
12/5/20,,402,,,,198.761452,11/23/20,-146.9735892,53.60740985,332.7665322,533.3475313,3/25/21,42003
12/6/20,,402,,,,205.5207504,11/24/20,-137.5070062,63.07399288,342.2331153,542.8141143,3/25/21,42003
12/7/20,,402,,,,213.359456,11/25/20,-127.869748,72.71125105,351.8703734,552.4513725,3/25/21,42003
12/8/20,,402,,,,223.7584585,11/26/20,-118.0915404,82.48945861,361.648581,562.2295801,3/25/21,42003
12/9/20,,402,,,,234.5567668,11/27/20,-108.2205632,92.36043586,371.5195583,572.1005573,3/25/21,42003
